model,accuracy,precision,recall,f1_score,roc_auc
logistic_regression,0.8987665296144016,0.7848898216159497,0.7491236855282924,0.7665898027158596,0.9561249185975478
random_forest,0.9299922213579287,0.8994739918176505,0.7706559839759639,0.8300970873786407,0.9750964636042896
xgboost,0.9342149127680853,0.895774647887324,0.7961942914371557,0.8430540827147401,0.978926473114413
